iter	Passed	Remaining
413	4388	911
414	4395	900
415	4412	891
416	4425	880
417	4431	869
418	4439	858
419	4452	848
420	4470	838
421	4479	827
422	4487	816
423	4496	805
424	4507	795
425	4518	784
426	4528	774
427	4537	763
428	4571	756
429	4583	746
430	4614	738
431	4624	727
432	4634	717
433	4641	705
434	4646	694
435	4662	684
436	4665	672
437	4675	661
438	4676	649
439	4680	638
440	4692	627
441	4694	616
442	4700	604
443	4705	593
444	4724	583
445	4725	572
446	4739	561
447	4753	551
448	4757	540
449	4781	531
450	4784	519
451	4796	509
452	4813	499
453	4824	488
454	4846	479
455	4848	467
456	4852	456
457	4885	447
458	4905	438
459	4915	427
460	4935	417
461	4942	406
462	4950	395
463	4958	384
464	4961	373
465	4965	362
466	4980	351
467	4996	341
468	4999	330
469	5022	320
470	5025	309
471	5031	298
472	5035	287
473	5050	277
474	5057	266
475	5061	255
476	5070	244
477	5081	233
478	5091	223
479	5098	212
480	5111	201
481	5113	190
482	5122	180
483	5124	169
484	5133	158
485	5148	148
486	5170	138
487	5174	127
488	5192	116
489	5200	106
490	5203	95
491	5208	84
492	5234	74
493	5240	63
494	5246	52
495	5257	42
496	5264	31
497	5269	21
498	5278	10
499	5293	0
