iter	Logloss
131	0.4316691727
132	0.4310678299
133	0.4301907961
134	0.4297791861
135	0.4292007671
136	0.4288493432
137	0.4284548454
138	0.4275997607
139	0.4274566328
140	0.4271096895
141	0.4268132434
142	0.4263077846
143	0.4259929143
144	0.4256690928
145	0.4247582417
146	0.4242899894
147	0.4236560559
148	0.4231237075
149	0.4224959321
150	0.4221639648
151	0.4217237745
152	0.4213269197
153	0.4204260048
154	0.4195955712
155	0.4191489827
156	0.4187498731
157	0.4181947936
158	0.4178854053
159	0.4175974934
160	0.4172334483
161	0.4169199751
162	0.4167430332
163	0.4165265673
164	0.4165128759
165	0.4160618495
166	0.4156514225
167	0.4155181268
168	0.415019245
169	0.4141668197
170	0.4133576377
171	0.4130102072
172	0.4124131748
173	0.4121060031
174	0.4120949972
175	0.4117518093
176	0.4107437107
177	0.4103492801
178	0.409493777
179	0.408876251
180	0.408587297
181	0.4079405431
182	0.4075676624
183	0.407158791
184	0.4065910877
185	0.4061779013
186	0.4058782655
187	0.4056783135
188	0.4050063866
189	0.4047683044
190	0.4039759353
191	0.4030498415
192	0.4029037799
193	0.4021431943
194	0.4018078078
195	0.4012822349
196	0.4010588724
197	0.4008670425
198	0.4004530697
199	0.4001180755
200	0.3998466442
201	0.399595743
202	0.3990884887
203	0.3986337351
204	0.3984339466
205	0.3979778117
206	0.3975014495
207	0.3967851893
208	0.3963827016
209	0.3962903931
210	0.3958572422
211	0.3956484313
212	0.3954703024
213	0.3950283774
214	0.3948330832
215	0.3944244657
216	0.394025707
217	0.3934685203
218	0.3933136093
219	0.3929970369
220	0.3923161956
221	0.3921128085
222	0.3920452319
223	0.3920418356
224	0.3917998336
225	0.3913234869
226	0.3910074519
227	0.3909088527
228	0.3905140508
229	0.3902350561
230	0.3898033619
231	0.3890909018
232	0.3887402087
233	0.3882966213
234	0.3881525334
235	0.3877507273
236	0.3873269143
237	0.3867974936
238	0.3866805251
239	0.3862441161
240	0.3859944529
241	0.3856398565
242	0.3855140886
243	0.3854014937
244	0.3848581661
245	0.3846042686
246	0.3840190325
247	0.3838005072
248	0.3835164798
249	0.3830884369
250	0.3829657022
251	0.3827222784
252	0.3823243618
253	0.3821756913
254	0.3821220057
255	0.3818704076
256	0.3813918343
257	0.3809498338
258	0.3805287414
259	0.3801140136
260	0.3798371195
261	0.3797080832
262	0.3796630647
263	0.3795089761
264	0.3792169089
265	0.3792080701
266	0.3786808752
267	0.3785179636
268	0.3783944538
269	0.377964576
270	0.3776117731
271	0.3770844971
272	0.37681833
273	0.3763075508
274	0.376036582
275	0.3758067777
276	0.3754680305
277	0.3750784225
278	0.3750711077
279	0.3748786619
280	0.3746763494
281	0.3746000138
282	0.3743932685
283	0.3741933087
284	0.3739817645
285	0.373868319
286	0.373735276
287	0.3736859701
288	0.3734390143
289	0.3734384398
290	0.373185095
291	0.3730491212
292	0.3729209586
293	0.3727560365
294	0.3725534801
295	0.3722762623
296	0.3721153666
297	0.3721081233
298	0.3718542914
299	0.371331799
300	0.3713313719
301	0.3712980597
302	0.3710748815
303	0.3708868941
304	0.3704998404
305	0.370222846
306	0.3702221237
307	0.3696596552
308	0.3694132429
309	0.3691349776
310	0.3688046682
311	0.3686363922
312	0.3682164028
313	0.3679801391
314	0.3679782584
315	0.3677515284
316	0.3675994437
317	0.3673353523
318	0.3669999658
319	0.3668912856
320	0.3666740038
321	0.3665777255
322	0.3665157337
323	0.3659505199
324	0.3654534153
325	0.3653882655
326	0.3650255705
327	0.3650014865
328	0.3648414388
329	0.3645606008
330	0.3643589971
331	0.3642746057
332	0.3642578538
333	0.3640429894
334	0.3640152657
335	0.3639103155
336	0.3635647259
337	0.3635145596
338	0.3631640322
339	0.3629507729
340	0.3627691449
341	0.3625440747
342	0.3623166816
343	0.3621004715
344	0.3619258976
345	0.3616507268
346	0.3614183921
347	0.3610815767
348	0.3606715489
349	0.3604597706
350	0.3602195619
351	0.3600444102
352	0.3596249206
353	0.3593248851
354	0.3591444559
355	0.3588651238
356	0.358695554
357	0.3584153476
358	0.358069963
359	0.3579281702
360	0.3576030859
361	0.3574567892
362	0.3574385295
363	0.3573108443
364	0.3569080474
365	0.3567618833
366	0.3567302688
367	0.3567145106
368	0.3565531871
369	0.3565528151
370	0.3564836939
371	0.3564527586
372	0.3563002989
373	0.3559597286
374	0.3559597073
375	0.3553423137
376	0.3552035212
377	0.3551448311
378	0.3549115003
379	0.3547135085
380	0.354662081
381	0.3543680332
382	0.3540931298
383	0.3536947316
384	0.3534275009
385	0.3532271308
386	0.3531728966
387	0.3527722797
388	0.352599427
389	0.352476479
390	0.352247755
391	0.3521671241
392	0.3520339561
393	0.3520339529
394	0.3517762829
395	0.351536371
396	0.3515178288
397	0.3512897487
398	0.351136301
399	0.3509791312
400	0.3507684573
401	0.3506362929
402	0.3502610924
403	0.3502356068
404	0.3497207035
405	0.349482713
406	0.3493098883
407	0.3490582795
408	0.3488277632
409	0.348825002
410	0.3487176157
411	0.3484074955
412	0.3480392519
413	0.3478644276
414	0.3478203392
415	0.3476165163
416	0.347391714
417	0.3471889225
418	0.3468422606
419	0.3466964286
420	0.346397639
421	0.3462030643
422	0.3457604362
423	0.3455661725
424	0.3454621682
425	0.3453088301
426	0.3452178781
427	0.3449493319
428	0.3447908173
429	0.3447062862
430	0.3442527629
431	0.3441956397
432	0.3437660457
433	0.3435615596
434	0.3433402
435	0.3431629286
436	0.3430406868
437	0.3429063075
438	0.3429063047
439	0.3426663003
440	0.3424400078
441	0.3424304832
442	0.3420270708
443	0.3415308984
444	0.3412026778
445	0.3411936137
446	0.3406167516
447	0.3403326174
448	0.3402788543
449	0.3401015594
450	0.3400510403
451	0.3398739664
452	0.3397025038
453	0.3395481391
454	0.3392127459
455	0.3392126455
456	0.3389825995
457	0.3386677468
458	0.3384925507
459	0.33832731
460	0.3379639442
461	0.3379122675
462	0.3378086462
463	0.3375913978
464	0.3375616874
465	0.3374520446
466	0.3372326172
467	0.3369025604
468	0.336641901
469	0.3365082916
470	0.336038146
471	0.3358407682
472	0.33563161
473	0.3354567174
474	0.3353255846
475	0.3350714693
476	0.3349889959
477	0.3348278619
478	0.3345929347
479	0.3344420657
480	0.3343411654
481	0.3342587346
482	0.3341251557
483	0.3341248296
484	0.3339797863
485	0.333852048
486	0.3334466126
487	0.3333966057
488	0.333134889
489	0.333075496
490	0.333058934
491	0.3328971619
492	0.3327325503
493	0.3324721877
494	0.3320159447
495	0.3318809229
496	0.3318165538
497	0.3317490659
498	0.3317340096
499	0.331670964
