iter	Logloss
0	0.687649265
1	0.6825399161
2	0.6769093666
3	0.6710143998
4	0.6656511364
5	0.660228853
6	0.6553778039
7	0.6506134227
8	0.645804875
9	0.6411388203
10	0.6366038678
11	0.6320406815
12	0.628162269
13	0.6253528865
14	0.6214097181
15	0.6176808252
16	0.6137412853
17	0.6109701562
18	0.607894954
19	0.6037757926
20	0.6002774488
21	0.5980043714
22	0.5947850026
23	0.5917811238
24	0.5887174968
25	0.586655763
26	0.5832123566
27	0.5803291089
28	0.578410267
29	0.5754319089
30	0.5725087694
31	0.5705995828
32	0.5688485742
33	0.5659969892
34	0.5631850307
35	0.5607516402
36	0.5591607891
37	0.5564109972
38	0.5534105788
39	0.5515164735
40	0.5489997134
41	0.5465239312
42	0.544114959
43	0.5415531141
44	0.5389738939
45	0.5367809671
46	0.5345698116
47	0.5323401479
48	0.5306574573
49	0.5292944383
50	0.5269743399
51	0.5254891649
52	0.5231511352
53	0.5211435973
54	0.5188947948
55	0.51656309
56	0.5142437985
57	0.5137337381
58	0.5127118595
59	0.5106450102
60	0.5087588224
61	0.5071922265
62	0.5062011328
63	0.5038034086
64	0.5021724045
65	0.5000547581
66	0.4983873576
67	0.4972067246
68	0.4957711108
69	0.4950469624
70	0.4928491463
71	0.4912051677
72	0.4896017832
73	0.4873878226
74	0.485365266
75	0.4837549787
76	0.4831473554
77	0.4816569833
78	0.4814475779
79	0.4796720066
80	0.4788195342
81	0.4768326092
82	0.4756197133
83	0.4744620703
84	0.4737544851
85	0.47350442
86	0.4722925899
87	0.4710185236
88	0.4697933062
89	0.4685158053
90	0.4673752532
91	0.4658888018
92	0.4649366337
93	0.4637473103
94	0.46212016
95	0.4608751321
96	0.4598132705
97	0.458997368
98	0.458247414
99	0.4573541624
100	0.4567400955
101	0.4559372708
102	0.4552557747
103	0.4542804795
104	0.4530690186
105	0.4519230112
106	0.4507915497
107	0.449927712
108	0.4489554855
109	0.448326943
110	0.4475103624
111	0.4463527137
112	0.4459987286
113	0.4453970975
114	0.4451070204
115	0.4442133702
116	0.4429955756
117	0.4425690082
118	0.4418149954
119	0.4411942448
120	0.4406058834
121	0.4392685858
122	0.4386392481
123	0.4379870481
124	0.4374092126
125	0.4360732377
126	0.4351071819
127	0.4342321665
128	0.4333505185
129	0.4324973569
130	0.432142234
